iter	CrossEntropy
0	0.6838938748
1	0.6746797999
2	0.6661149495
3	0.6577219348
4	0.6498596636
5	0.6422922795
6	0.6340714822
7	0.6260713319
8	0.6182988701
9	0.6105341643
10	0.6053468307
11	0.597818029
12	0.5906119333
13	0.5842528587
14	0.5793899959
15	0.5746335881
16	0.5680767284
17	0.5634570052
18	0.5568825211
19	0.5524986632
20	0.5482516969
21	0.5440263167
22	0.5398324663
23	0.5355726111
24	0.5299880056
25	0.5259545391
26	0.5221470069
27	0.5184640475
28	0.5145039489
29	0.5098002385
30	0.506028742
31	0.5008333953
32	0.4971160404
33	0.4936109386
34	0.4886456508
35	0.4853488739
36	0.4821130818
37	0.479068271
38	0.4759794652
39	0.4730344454
40	0.469859013
41	0.4667639738
42	0.4636756593
43	0.4605318525
44	0.4562906456
45	0.4533418484
46	0.4504432199
47	0.4465697222
48	0.4438273229
