iter	Passed	Remaining
0	79608	79528701
1	158816	79249541
2	237901	79062586
3	315910	78661790
4	393488	78304266
5	471501	78112150
6	553060	78455562
7	634798	78715028
8	714071	78627250
9	796371	78840754
10	877967	78937297
11	959703	79015552
12	1039244	78902608
13	1120247	78897443
14	1200612	78840217
15	1281540	78814720
16	1364643	78908503
17	1445684	78870108
18	1526168	78798513
19	1608937	78837933
20	1689412	78758785
21	1768114	78600718
22	1849871	78579328
23	1932996	78608535
24	2015987	78623512
25	2097613	78579826
26	2181488	78614369
27	2262331	78535234
28	2341052	78384880
29	2420840	78273848
30	2500551	78162398
31	2579466	78028866
32	2660479	77960099
33	2741098	77879448
34	2819989	77751138
35	2897609	77591556
36	2975099	77433003
37	3052781	77283584
38	3133468	77211870
39	3214723	77153368
40	3294873	77067883
41	3372860	76933352
42	3450293	76789096
43	3527993	76653667
44	3606493	76537801
45	3684949	76422654
46	3759147	76222709
47	3836255	76085734
48	3912448	75933445
